countryID,matchID,categoryID,bookmakerID,sign,time,amount,coeff
0,1608208,0,14,2,2016-10-17 14:40:13,36,2.8
0,1608208,0,14,1,2016-10-17 13:22:35,36,2.25
0,1608208,0,14,X,2016-10-17 13:22:35,36,3.4
0,1608208,0,14,2,2016-10-17 13:22:35,36,2.63
0,1608208,0,14,1,2016-10-16 18:33:10,36,1.83
0,1608208,0,14,X,2016-10-16 18:33:10,36,3.3
0,1608208,0,14,2,2016-10-16 18:33:10,36,3.8
0,1608208,0,14,1,2016-10-16 13:21:15,36,1.67
0,1608208,0,14,X,2016-10-16 13:21:15,36,3.4
0,1608208,0,14,2,2016-10-16 13:21:15,36,4.5
0,1608208,10,29,O,2016-10-17 20:14:17,46,7.8
0,1608208,10,29,U,2016-10-17 20:14:17,13,1.13
0,1608208,10,29,O,2016-10-17 20:11:13,46,7.8
0,1608208,10,29,U,2016-10-17 20:11:13,55,1.11
0,1608208,10,29,O,2016-10-17 20:08:17,46,7.8
0,1608208,10,29,U,2016-10-17 20:08:17,54,1.11
0,1608208,10,29,O,2016-10-17 20:05:14,46,7.8
0,1608208,10,29,U,2016-10-17 20:05:14,62,1.1
0,1608208,10,29,O,2016-10-17 20:02:23,37,7.8
0,1608208,10,29,U,2016-10-17 20:02:23,382,1.09
0,1608208,10,29,O,2016-10-17 19:53:15,37,7.8
0,1608208,10,29,U,2016-10-17 19:53:15,383,1.09
0,1608208,10,29,O,2016-10-17 19:47:16,37,7.8
0,1608208,10,29,U,2016-10-17 19:47:16,376,1.09
0,1608208,10,29,O,2016-10-17 19:35:17,16,6.8
0,1608208,10,29,U,2016-10-17 19:35:17,376,1.09
0,1608208,10,29,O,2016-10-17 19:29:17,16,6.8
0,1608208,10,29,U,2016-10-17 19:29:17,362,1.09
0,1608208,10,29,O,2016-10-17 19:20:21,11,7.6
0,1608208,10,29,U,2016-10-17 19:20:21,343,1.09
0,1608208,10,29,O,2016-10-17 19:17:14,18,6.8
0,1608208,10,29,U,2016-10-17 19:17:14,88,1.09
0,1608208,10,29,O,2016-10-17 18:50:24,20,6.8
0,1608208,10,29,U,2016-10-17 18:50:24,88,1.09
0,1608208,10,29,O,2016-10-17 18:38:21,19,6.8
0,1608208,10,29,U,2016-10-17 18:38:21,88,1.09
0,1608208,10,29,O,2016-10-17 18:35:21,19,6.8
0,1608208,10,29,U,2016-10-17 18:35:21,85,1.09
0,1608208,10,29,O,2016-10-17 18:17:19,19,6.8
0,1608208,10,29,U,2016-10-17 18:17:19,93,1.09
0,1608208,10,29,O,2016-10-17 18:14:30,15,6.8
0,1608208,10,29,U,2016-10-17 18:14:30,93,1.09
0,1608208,10,29,O,2016-10-17 18:05:17,51,7
0,1608208,10,29,U,2016-10-17 18:05:17,93,1.09
0,1608208,10,29,O,2016-10-17 18:02:34,51,7
0,1608208,10,29,U,2016-10-17 18:02:34,95,1.09
0,1608208,10,29,O,2016-10-17 17:38:23,43,7
0,1608208,10,29,U,2016-10-17 17:38:23,95,1.09
0,1608208,10,29,O,2016-10-17 17:35:15,43,7
0,1608208,10,29,U,2016-10-17 17:35:15,88,1.09
0,1608208,10,29,O,2016-10-15 20:19:37,2,1.01
0,1608208,10,29,U,2016-10-15 20:19:37,100,1.06
